secondary_study_accession	sample_accession	secondary_sample_accession	run_accession	submission_accession	fastq_md5	fastq_ftp	submitted_ftp
ERP109205	SAMEA3570787	ERS877936	ERR1423982	ERA625452	012e323fb7eb84f0023694236cecce08;074d9a410730ab2eda897afb5d5e72c2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1423982/ERR1423982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1423982/ERR1423982_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423982/19189_8#12.cram
ERP109205	SAMEA3570789	ERS877938	ERR1423983	ERA625452	defb21dc941781e9fa26bcf02b1d1382;8733b4317dcda03d9dc5ff26289df76e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1423983/ERR1423983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1423983/ERR1423983_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423983/19189_8#13.cram
ERP109205	SAMEA3570791	ERS877940	ERR1423984	ERA625452	d39b334fcfe8c07980d9f914b824fb0e;677bafc075f7e1fa74e8dc94492f9cd8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1423984/ERR1423984_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1423984/ERR1423984_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423984/19189_8#14.cram
ERP109205	SAMEA3570793	ERS877942	ERR1423985	ERA625452	59e046e5173b879d374f9f713c7a692a;6f4c9ee8d04a1a6841ab70c54c2c7643	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1423985/ERR1423985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1423985/ERR1423985_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423985/19189_8#15.cram
ERP109205	SAMEA3570795	ERS877944	ERR1423986	ERA625452	2acb7e66dfb6e1ca4e096b092456b67e;e260f06f27cbd9fb8e203c065bf20e43	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1423986/ERR1423986_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1423986/ERR1423986_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423986/19189_8#16.cram
ERP109205	SAMEA3570797	ERS877946	ERR1423987	ERA625452	88260f3ee1da752c423a6a3a508e200f;4a44dc9bff3fe65cce8e716dedb6992f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1423987/ERR1423987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1423987/ERR1423987_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423987/19189_8#17.cram
ERP109205	SAMEA3570799	ERS877948	ERR1423988	ERA625452	cf00ab8c1ee7be20af272d79527e632e;05c8bcd504ee6330e41637de2cc5f6b5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1423988/ERR1423988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1423988/ERR1423988_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423988/19189_8#18.cram
ERP109205	SAMEA3570801	ERS877950	ERR1423989	ERA625452	7108e645a7888a506bc68406e3862952;a7eb6d0ea94decb862ab27a8e7ac409a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1423989/ERR1423989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1423989/ERR1423989_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423989/19189_8#19.cram
ERP109205	SAMEA3570803	ERS877952	ERR1423990	ERA625452	f664c10c18688e75fa853d60d539ac93;3d864d80617e3091bd42037b41788f46	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1423990/ERR1423990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1423990/ERR1423990_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423990/19189_8#20.cram
ERP109205	SAMEA3570805	ERS877954	ERR1423991	ERA625452	b88ae219221e904e52aa03233b3c6b1a;550cbd1238d4f380cd79c4348071d65f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1423991/ERR1423991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1423991/ERR1423991_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423991/19189_8#21.cram
