##Supplementary Table 1. Accession numbers of YKOC colonies sequenced.		
##LEGEND		
##Deletion_Strain	Unique ID identifying the KO strain from which colonies were derived	
##SD_code	Unique ID identifying a single colony	
##ERS accession number	Accession code to download data from the European Nucleotide Archive	
#Deletion_Strain	SD_code	ERS accession number
Del117_BNS1	SD0979b	ERS838464
Del117_BNS1	SD0979b2	ERS838465
Del118_PHB2	SD0980b	ERS838466
Del118_PHB2	SD0980b2	ERS838467
Del119_NAS6	SD0981b	ERS838468
Del119_NAS6	SD0981b2	ERS838469
Del120_PHO81	SD0982b	ERS838470
Del120_PHO81	SD0982b2	ERS838471
Del121_YHB1	SD0983b	ERS838472
Del121_YHB1	SD0983b2	ERS838473
Del122_MIC26	SD0984b	ERS838474
Del122_MIC26	SD0984b2	ERS838475
Del123_SPG1	SD0985b	ERS838476
Del123_SPG1	SD0985b2	ERS838477
Del124_YGR237C	SD0986b	ERS838478
Del124_YGR237C	SD0986b2	ERS838479
Del125_PFK1	SD0987b	ERS838480
Del125_PFK1	SD0987b2	ERS838481
Del126_YAP1802	SD0988b	ERS838482
Del126_YAP1802	SD0988b2	ERS838483
Del127_YGR242W	SD0989b	ERS838484
Del127_YGR242W	SD0989b2	ERS838485
Del128_MPC3	SD0990b	ERS838486
Del128_MPC3	SD0990b2	ERS838487
Del129_LSC2	SD0991b	ERS838488
Del129_LSC2	SD0991b2	ERS838489
Del130_CPD1	SD0992b	ERS838490
Del130_CPD1	SD0992b2	ERS838491
Del131_MGA1	SD0993b	ERS838492
Del131_MGA1	SD0993b2	ERS838493
Del132_GND2	SD0994b	ERS838494
Del132_GND2	SD0994b2	ERS838495
Del133_YGR259C	SD0995b	ERS838496
Del133_YGR259C	SD0995b2	ERS838497
Del134_TNA1	SD0996b	ERS838498
Del134_TNA1	SD0996b2	ERS838499
Del135_APL6	SD0997b	ERS838500
Del135_APL6	SD0997b2	ERS838501
Del136_BUD32	SD0998b	ERS969953
Del136_BUD32	SD0998b2	ERS969954
Del137_SAY1	SD0999b	ERS838504
Del137_SAY1	SD0999b2	ERS838505
Del138_YGR266W	SD1000b	ERS838506
Del138_YGR266W	SD1000b2	ERS838507
Del139_HUA1	SD1001b	ERS838508
Del140_YGR269W	SD1002b	ERS838510
Del140_YGR269W	SD1002b2	ERS838511
Del141_YTA7	SD1003b	ERS838512
Del141_YTA7	SD1003b2	ERS838513
Del142_RTT102	SD1004b	ERS838514
Del142_RTT102	SD1004b2	ERS838515
Del143_SCW4	SD1005b	ERS838516
Del143_SCW4	SD1005b2	ERS838517
