##Supplementary Table 1. Accession numbers of YKOC colonies sequenced.		
##LEGEND		
##Deletion_Strain	Unique ID identifying the KO strain from which colonies were derived	
##SD_code	Unique ID identifying a single colony	
##ERS accession number	Accession code to download data from the European Nucleotide Archive	
#Deletion_Strain	SD_code	ERS accession number
Del2133_SPF1	SD2995b	ERS947888
Del2133_SPF1	SD2995b2	ERS947889
Del2134_MTC7	SD2996b	ERS1019430
Del2134_MTC7	SD2996b2	ERS1019431
Del2135_ANP1	SD2997b	ERS947892
Del2135_ANP1	SD2997b2	ERS947893
Del2136_RAD23	SD2998b	ERS947894
Del2136_RAD23	SD2998b2	ERS947895
Del2137_UTR4	SD2999b	ERS947896
Del2137_UTR4	SD2999b2	ERS947897
Del2138_CYC7	SD3000b	ERS947898
Del2138_CYC7	SD3000b2	ERS947899
Del2139_UTR2	SD3001b	ERS947900
Del2139_UTR2	SD3001b2	ERS947901
Del2140_YEF1	SD3002b	ERS947902
Del2140_YEF1	SD3002b2	ERS947903
Del2141_GDA1	SD3003b	ERS947904
Del2141_GDA1	SD3003b2	ERS947905
Del2142_YEL043W	SD3004b	ERS947906
Del2142_YEL043W	SD3004b2	ERS947907
Del2143_IES6	SD3005b	ERS1019432
Del2144_YEL045C	SD3006b	ERS1019434
Del2144_YEL045C	SD3006b2	ERS1019435
Del2145_GLY1	SD3007b	ERS1019436
Del2145_GLY1	SD3007b2	ERS1019437
Del2146_FRD1	SD3008b	ERS947914
Del2146_FRD1	SD3008b2	ERS947915
Del2147_TCA17	SD3009b	ERS947916
Del2147_TCA17	SD3009b2	ERS947917
Del2148_PAU2	SD3010b	ERS947918
Del2148_PAU2	SD3010b2	ERS947919
Del2149_RML2	SD3011b	ERS947920
Del2149_RML2	SD3011b2	ERS947921
Del2149_RML2	SD3012b	ERS1019380
Del2149_RML2	SD3012b2	ERS1019381
Del2151_AFG1	SD3013b	ERS947924
Del2151_AFG1	SD3013b2	ERS947925
Del2152_MAK10	SD3014b	ERS947926
Del2152_MAK10	SD3014b2	ERS947927
Del2153_RPL12A	SD3015b2	ERS947929
Del2154_HAT2	SD3016b	ERS947930
Del2154_HAT2	SD3016b2	ERS947931
Del2155_YEL057C	SD3017b	ERS947932
Del2155_YEL057C	SD3017b2	ERS947933
Del2156_HHY1	SD3018b	ERS947934
Del2157_PRB1	SD3019b2	ERS947937
Del2158_CIN8	SD3020b	ERS947938
Del2158_CIN8	SD3020b2	ERS947939
Del2159_NPR2	SD3021b	ERS947940
Del2159_NPR2	SD3021b2	ERS947941
Del2160_CAN1	SD3022b	ERS947880
Del2160_CAN1	SD3022b2	ERS947881
Del2161_AVT2	SD3023b	ERS947890
Del2161_AVT2	SD3023b2	ERS947891
Del2162_SIT1	SD3024b	ERS947908
Del2162_SIT1	SD3024b2	ERS947909
Del2163_HPA3	SD3025b	ERS947910
Del2163_HPA3	SD3025b2	ERS947911
Del2164_YEL067C	SD3026b	ERS947912
Del2164_YEL067C	SD3026b2	ERS947913
Del2165_YEL068C	SD3027b	ERS947922
Del2165_YEL068C	SD3027b2	ERS947923
Del2166_DLD3	SD3028b	ERS947942
Del2166_DLD3	SD3028b2	ERS947943
Del2167_RMD6	SD3029b	ERS947944
Del2167_RMD6	SD3029b2	ERS947945
Del2168_MNN1	SD3030b2	ERS947947
Del2169_NOP16	SD3031b	ERS947948
Del2169_NOP16	SD3031b2	ERS947949
Del2170_FMP52	SD3032b	ERS947950
Del2170_FMP52	SD3032b2	ERS947951
Del2171_YND1	SD3033b	ERS947952
Del2171_YND1	SD3033b2	ERS947953
Del2172_TMA20	SD3034b	ERS947954
Del2172_TMA20	SD3034b2	ERS947955
Del2173_PAC2	SD3035b2	ERS947957
Del2174_YER010C	SD3036b2	ERS947959
Del2175_TIR1	SD3037b	ERS947960
Del2175_TIR1	SD3037b2	ERS947961
Del2177_BIM1	SD3039b2	ERS947963
Del2178_AFG3	SD3040b	ERS947964
Del2179_ISC1	SD3041b	ERS947966
Del2179_ISC1	SD3041b2	ERS947967
Del2180_SBH2	SD3042b	ERS947968
Del2180_SBH2	SD3042b2	ERS947969
Del2181_GPA2	SD3043b	ERS947970
Del2182_YAT2	SD3044b2	ERS947973
Del2183_CHZ1	SD3045b	ERS947974
Del2183_CHZ1	SD3045b2	ERS947975
Del2184_FIR1	SD3046b	ERS947976
Del2184_FIR1	SD3046b2	ERS947977
Del2185_ZRG8	SD3047b	ERS947978
Del2185_ZRG8	SD3047b2	ERS947979
Del2186_YER034W	SD3048b	ERS947980
Del2186_YER034W	SD3048b2	ERS947981
Del2187_YER038W-A	SD3049b	ERS947982
Del2187_YER038W-A	SD3049b2	ERS947983
Del2188_HVG1	SD3050b	ERS947984
Del2189_GLN3	SD3051b	ERS947986
Del2189_GLN3	SD3051b2	ERS947987
Del2190_YEN1	SD3052b	ERS1076574
Del2190_YEN1	SD3052b2	ERS1076575
Del2191_MXR1	SD3053b	ERS947988
Del2191_MXR1	SD3053b2	ERS947989
Del2193_MEI4	SD3055b	ERS947990
Del2193_MEI4	SD3055b2	ERS947991
Del2194_ACA1	SD3056b	ERS947992
Del2194_ACA1	SD3056b2	ERS947993
Del2195_YER046W-A	SD3057b	ERS947994
Del2195_YER046W-A	SD3057b2	ERS947995
Del2196_SAP1	SD3058b	ERS947996
Del2196_SAP1	SD3058b2	ERS947997
Del2197_CAJ1	SD3059b	ERS947998
Del2197_CAJ1	SD3059b2	ERS947999
Del2198_TPA1	SD3060b	ERS948000
Del2198_TPA1	SD3060b2	ERS948001
Del2199_RSM18	SD3061b	ERS948002
Del2199_RSM18	SD3061b2	ERS948003
Del2200_JHD1	SD3062b	ERS1076576
Del2200_JHD1	SD3062b2	ERS1076577
Del2201_HOM3	SD3063b	ERS952954
Del2201_HOM3	SD3063b2	ERS952955
Del2202_PIC2	SD3064b	ERS948004
Del2202_PIC2	SD3064b2	ERS948005
Del2203_GIP2	SD3065b	ERS948006
Del2203_GIP2	SD3065b2	ERS948007
Del2204_HIS1	SD3066b	ERS948008
Del2204_HIS1	SD3066b2	ERS948009
Del2205_FCY2	SD3067b	ERS948010
Del2205_FCY2	SD3067b2	ERS948011
Del2206_RPL34A	SD3068b	ERS948012
Del2206_RPL34A	SD3068b2	ERS948013
Del2207_HMF1	SD3069b	ERS948014
Del2207_HMF1	SD3069b2	ERS948015
Del2208_PET117	SD3070b	ERS948016
Del2208_PET117	SD3070b2	ERS948017
Del2209_PCL6	SD3071b	ERS948018
Del2209_PCL6	SD3071b2	ERS948019
Del2210_FCY21	SD3072b	ERS948020
Del2210_FCY21	SD3072b2	ERS948021
Del2211_FCY22	SD3073b	ERS948022
Del2211_FCY22	SD3073b2	ERS948023
Del2212_CEM1	SD3074b	ERS1042731
Del2212_CEM1	SD3074b2	ERS1042732
Del2213_GPP2	SD3075b	ERS948024
Del2213_GPP2	SD3075b2	ERS948025
Del2214_ICL1	SD3076b	ERS948026
Del2214_ICL1	SD3076b2	ERS948027
Del2215_YER066C-A	SD3077b	ERS948028
Del2215_YER066C-A	SD3077b2	ERS948029
Del2216_RGI1	SD3078b	ERS952956
Del2216_RGI1	SD3078b2	ERS952957
Del2217_YER067C-A	SD3079b2	ERS952959
Del2218_MOT2	SD3080b	ERS1042883
Del2218_MOT2	SD3080b2	ERS1042884
Del2219_YER068C-A	SD3081b	ERS1076578
Del2219_YER068C-A	SD3081b2	ERS1076579
Del2220_ARG5,6	SD3082b	ERS952960
Del2220_ARG5,6	SD3082b2	ERS952961
Del2231_YER084W	SD3083b	ERS952962
Del2231_YER084W	SD3083b2	ERS952963
Del2222_TDA2	SD3084b	ERS948030
Del2222_TDA2	SD3084b2	ERS948031
Del2223_VTC1	SD3085b	ERS948032
Del2223_VTC1	SD3085b2	ERS948033
Del2224_ALD5	SD3086b	ERS948034
Del2224_ALD5	SD3086b2	ERS948035
Del2225_RPS24A	SD3087b	ERS948036
Del2225_RPS24A	SD3087b2	ERS948037
Del2226_PTP3	SD3088b	ERS948038
Del2226_PTP3	SD3088b2	ERS948039
Del2227_YER079W	SD3089b	ERS948040
Del2227_YER079W	SD3089b2	ERS948041
Del2228_AIM9	SD3090b	ERS948042
Del2228_AIM9	SD3090b2	ERS948043
Del2229_SER3	SD3091b	ERS948044
Del2229_SER3	SD3091b2	ERS948045
Del2230_GET2	SD3092b	ERS948046
Del2230_GET2	SD3092b2	ERS948047
Del2231_YER084W	SD3093b	ERS948048
Del2231_YER084W	SD3093b2	ERS948049
Del2232_YER085C	SD3094b	ERS952964
Del2233_ILV1	SD3095b	ERS1076580
Del2233_ILV1	SD3095b2	ERS1076581
Del2234_YER087C-A	SD3096b	ERS948050
Del2234_YER087C-A	SD3096b2	ERS948051
Del2235_YFL006W	SD3097b	ERS948052
Del2235_YFL006W	SD3097b2	ERS948053
Del2236_HXT10	SD3098b	ERS948054
Del2236_HXT10	SD3098b2	ERS948055
Del2237_YFL015C	SD3099b	ERS948056
Del2237_YFL015C	SD3099b2	ERS948057
Del2237_YFL015C	SD3100b	ERS948058
Del2237_YFL015C	SD3100b2	ERS948059
Del2239_PAU5	SD3101b	ERS948060
Del2239_PAU5	SD3101b2	ERS948061
Del2240_GAT1	SD3102b	ERS948062
Del2240_GAT1	SD3102b2	ERS948063
Del2241_BUD27	SD3103b2	ERS1019383
Del2242_BST1	SD3104b	ERS948064
Del2242_BST1	SD3104b2	ERS948065
Del2243_GYP8	SD3105b	ERS948066
Del2243_GYP8	SD3105b2	ERS948067
Del2244_CAF16	SD3106b	ERS948068
Del2244_CAF16	SD3106b2	ERS948069
Del2245_AGX1	SD3107b	ERS948070
Del2245_AGX1	SD3107b2	ERS948071
Del2246_HAC1	SD3108b	ERS948072
Del2246_HAC1	SD3108b2	ERS948073
Del2247_YFL032W	SD3109b	ERS948074
Del2247_YFL032W	SD3109b2	ERS948075
Del2248_YFL034W	SD3110b	ERS948076
Del2248_YFL034W	SD3110b2	ERS948077
Del84_RPL22B	SD3111b	ERS948078
Del84_RPL22B	SD3111b2	ERS948079
Del2277_YFR018C	SD3112b	ERS1019384
Del2277_YFR018C	SD3112b2	ERS1019385
Del2251_YFL040W	SD3113b	ERS948080
Del2251_YFL040W	SD3113b2	ERS948081
Del2252_FET5	SD3114b	ERS948082
Del2252_FET5	SD3114b2	ERS948083
Del2253_YFL043C	SD3115b	ERS948084
Del2253_YFL043C	SD3115b2	ERS948085
Del2254_OTU1	SD3116b	ERS948086
Del2254_OTU1	SD3116b2	ERS948087
Del2255_FMP32	SD3117b	ERS948088
Del2255_FMP32	SD3117b2	ERS948089
Del2256_RGD2	SD3118b	ERS948090
Del2256_RGD2	SD3118b2	ERS948091
Del2257_EMP47	SD3119b	ERS948092
Del2257_EMP47	SD3119b2	ERS948093
Del2258_SWP82	SD3120b	ERS948094
Del2258_SWP82	SD3120b2	ERS948095
Del2259_ALR2	SD3121b	ERS948096
Del2259_ALR2	SD3121b2	ERS948097
Del2260_YFL051C	SD3122b	ERS952966
Del2260_YFL051C	SD3122b2	ERS952967
Del2261_YFL052W	SD3123b	ERS948098
Del2261_YFL052W	SD3123b2	ERS948099
Del2262_DAK2	SD3124b	ERS948100
Del2262_DAK2	SD3124b2	ERS948101
Del2263_YFL054C	SD3125b	ERS948102
Del2263_YFL054C	SD3125b2	ERS948103
Del2264_AGP3	SD3126b	ERS948104
Del2264_AGP3	SD3126b2	ERS948105
Del2265_AAD6	SD3127b	ERS948106
Del2265_AAD6	SD3127b2	ERS948107
Del2266_LOC1	SD3128b3	ERS1076718
Del2266_LOC1	SD3128b4	ERS1076719
Del2267_YFR006W	SD3129b	ERS948108
Del2267_YFR006W	SD3129b2	ERS948109
Del2268_YFH7	SD3130b	ERS948110
Del2268_YFH7	SD3130b2	ERS948111
Del2269_FAR7	SD3131b	ERS948112
Del2269_FAR7	SD3131b2	ERS948113
Del2270_GCN20	SD3132b	ERS948114
Del2270_GCN20	SD3132b2	ERS948115
Del2271_UBP6	SD3133b	ERS948116
Del2271_UBP6	SD3133b2	ERS948117
Del2272_DCV1	SD3134b	ERS948118
Del2272_DCV1	SD3134b2	ERS948119
Del2273_CMK1	SD3135b	ERS948120
Del2273_CMK1	SD3135b2	ERS948121
Del2274_GSY1	SD3136b	ERS948122
Del2274_GSY1	SD3136b2	ERS948123
Del2275_YFR016C	SD3137b	ERS948124
Del2275_YFR016C	SD3137b2	ERS948125
Del2276_IGD1	SD3138b	ERS948126
Del2276_IGD1	SD3138b2	ERS948127
Del2277_YFR018C	SD3139b	ERS948128
Del2277_YFR018C	SD3139b2	ERS948129
Del2278_YFR020W	SD3140b	ERS948130
Del2278_YFR020W	SD3140b2	ERS948131
Del2279_ATG18	SD3141b	ERS948132
Del2279_ATG18	SD3141b2	ERS948133
Del2280_ROG3	SD3142b	ERS948134
Del2280_ROG3	SD3142b2	ERS948135
Del2281_PES4	SD3143b	ERS948136
Del2281_PES4	SD3143b2	ERS948137
Del2282_LSB3	SD3144b	ERS948138
Del2282_LSB3	SD3144b2	ERS948139
Del2283_ULI1	SD3145b	ERS948140
Del2283_ULI1	SD3145b2	ERS948141
Del2284_RPL2A	SD3146b	ERS948142
Del2284_RPL2A	SD3146b2	ERS948143
Del2285_ERP6	SD3147b	ERS948144
Del2285_ERP6	SD3147b2	ERS948145
Del2286_CDH1	SD3148b	ERS948146
Del2286_CDH1	SD3148b2	ERS948147
Del2287_RPN14	SD3149b	ERS948148
Del2287_RPN14	SD3149b2	ERS948149
Del2288_COG7	SD3150b	ERS948150
Del2288_COG7	SD3150b2	ERS948151
Del2289_PMC1	SD3151b	ERS948152
Del2289_PMC1	SD3151b2	ERS948153
Del2290_BRP1	SD3152b	ERS948154
Del2290_BRP1	SD3152b2	ERS948155
Del2291_LEU1	SD3153b	ERS948156
Del2291_LEU1	SD3153b2	ERS948157
Del2292_MPO1	SD3154b	ERS948158
Del2292_MPO1	SD3154b2	ERS948159
Del2293_ERG4	SD3155b	ERS948160
Del2293_ERG4	SD3155b2	ERS948161
Del2294_PDR1	SD3156b	ERS948162
Del2294_PDR1	SD3156b2	ERS948163
Del2295_PUF4	SD3157b	ERS948164
Del2295_PUF4	SD3157b2	ERS948165
Del2296_YGL015C	SD3158b	ERS948166
Del2296_YGL015C	SD3158b2	ERS948167
Del2297_KAP122	SD3159b	ERS948168
Del2297_KAP122	SD3159b2	ERS948169
Del2298_ATE1	SD3160b	ERS952968
Del2298_ATE1	SD3160b2	ERS952969
Del2299_CKB1	SD3161b	ERS948170
Del2299_CKB1	SD3161b2	ERS948171
Del2300_GET1	SD3162b	ERS1076582
Del2300_GET1	SD3162b2	ERS1076583
Del2301_ALK1	SD3163b	ERS948172
Del2301_ALK1	SD3163b2	ERS948173
Del2302_PIB2	SD3164b	ERS948174
Del2302_PIB2	SD3164b2	ERS948175
Del2303_PGD1	SD3165b	ERS948176
Del2303_PGD1	SD3165b2	ERS948177
Del2304_TRP5	SD3166b	ERS948178
Del2304_TRP5	SD3166b2	ERS948179
Del2305_CWH41	SD3167b	ERS948180
Del2305_CWH41	SD3167b2	ERS948181
Del2306_SCW11	SD3168b	ERS948182
Del2306_SCW11	SD3168b2	ERS948183
Del2307_RPL24A	SD3169b	ERS948184
Del2307_RPL24A	SD3169b2	ERS948185
Del2308_AGA2	SD3170b	ERS948186
Del2308_AGA2	SD3170b2	ERS948187
Del2309_HOP2	SD3171b	ERS948188
Del2309_HOP2	SD3171b2	ERS948189
Del2310_YGL034C	SD3172b	ERS948190
Del2310_YGL034C	SD3172b2	ERS948191
Del2311_MIG1	SD3173b	ERS948192
Del2311_MIG1	SD3173b2	ERS948193
Del2313_PNC1	SD3174b	ERS948194
Del2313_PNC1	SD3174b2	ERS948195
Del2313_PNC1	SD3175b	ERS948196
Del2313_PNC1	SD3175b2	ERS948197
Del2314_OCH1	SD3176b	ERS948198
Del2314_OCH1	SD3176b2	ERS948199
Del2315_YGL039W	SD3177b	ERS948200
Del2315_YGL039W	SD3177b2	ERS948201
Del2316_YGL041C	SD3178b	ERS948202
Del2316_YGL041C	SD3178b2	ERS948203
Del2317_YGL042C	SD3179b	ERS948204
Del2317_YGL042C	SD3179b2	ERS948205
Del2318_DST1	SD3180b	ERS948206
Del2318_DST1	SD3180b2	ERS948207
Del2319_RIM8	SD3181b	ERS948208
Del2319_RIM8	SD3181b2	ERS948209
Del2320_YGL046W	SD3182b	ERS948210
Del2320_YGL046W	SD3182b2	ERS948211
Del2321_TIF4632	SD3183b	ERS948212
Del2321_TIF4632	SD3183b2	ERS948213
Del2322_TYW3	SD3184b	ERS948214
Del2322_TYW3	SD3184b2	ERS948215
Del2323_MST27	SD3185b	ERS948216
Del2323_MST27	SD3185b2	ERS948217
Del2324_PRM8	SD3186b	ERS948218
Del2324_PRM8	SD3186b2	ERS948219
Del2325_ERV14	SD3187b	ERS948220
Del2325_ERV14	SD3187b2	ERS948221
Del2326_SDS23	SD3188b	ERS948222
Del2326_SDS23	SD3188b2	ERS948223
Del2327_GEP7	SD3189b	ERS948224
Del2327_GEP7	SD3189b2	ERS948225
Del2328_RAD6	SD3190b	ERS948226
Del2328_RAD6	SD3190b2	ERS948227
Del2329_PKP2	SD3191b	ERS951879
Del2329_PKP2	SD3191b2	ERS951881
Del2330_YBP2	SD3192b	ERS951883
Del2330_YBP2	SD3192b2	ERS951885
Del2331_PYC1	SD3193b	ERS951886
Del2331_PYC1	SD3193b2	ERS951888
Del2332_PUS2	SD3194b	ERS951890
Del2332_PUS2	SD3194b2	ERS951891
Del2333_MRH4	SD3195b	ERS951893
Del2333_MRH4	SD3195b2	ERS951894
Del2334_SGF73	SD3196b	ERS951896
Del2334_SGF73	SD3196b2	ERS951898
Del2335_NPY1	SD3197b	ERS951900
Del2335_NPY1	SD3197b2	ERS951902
Del2336_RPB9	SD3198b	ERS1076584
Del2336_RPB9	SD3198b2	ERS1076585
Del2337_AFT1	SD3199b	ERS951903
Del2337_AFT1	SD3199b2	ERS951905
Del2338_YGL072C	SD3200b	ERS951906
Del2338_YGL072C	SD3200b2	ERS951908
Del2339_RPL7A	SD3201b	ERS951910
Del2339_RPL7A	SD3201b2	ERS951911
Del2340_HNM1	SD3202b	ERS951913
Del2340_HNM1	SD3202b2	ERS951915
Del2341_DBP3	SD3203b	ERS951916
Del2341_DBP3	SD3203b2	ERS951918
Del2342_KXD1	SD3204b	ERS951920
Del2342_KXD1	SD3204b2	ERS951921
Del2343_MPC1	SD3205b	ERS951923
Del2343_MPC1	SD3205b2	ERS951925
Del2344_YGL081W	SD3206b	ERS951927
Del2344_YGL081W	SD3206b2	ERS951928
Del2345_YGL082W	SD3207b	ERS951930
Del2345_YGL082W	SD3207b2	ERS951932
Del2346_SCY1	SD3208b	ERS951933
Del2346_SCY1	SD3208b2	ERS951935
Del2347_GUP1	SD3209b	ERS951937
Del2347_GUP1	SD3209b2	ERS951938
Del2348_LCL3	SD3210b	ERS951940
Del2348_LCL3	SD3210b2	ERS951942
Del2349_MAD1	SD3211b	ERS951943
Del2349_MAD1	SD3211b2	ERS951945
Del2350_MMS2	SD3212b	ERS951946
Del2350_MMS2	SD3212b2	ERS951948
Del2351_YGL088W	SD3213b	ERS951950
Del2351_YGL088W	SD3213b2	ERS951951
Del2352_MFALPHA2	SD3214b	ERS951953
Del2352_MFALPHA2	SD3214b2	ERS951955
Del2353_LIF1	SD3215b	ERS951956
Del2353_LIF1	SD3215b2	ERS951958
Del2354_PAN2	SD3216b	ERS951996
Del2354_PAN2	SD3216b2	ERS952042
Del2355_VPS45	SD3217b	ERS952090
Del2355_VPS45	SD3217b2	ERS952141
Del2356_TOS8	SD3218b	ERS952171
Del2356_TOS8	SD3218b2	ERS952173
Del2357_YGL101W	SD3219b	ERS952175
Del2357_YGL101W	SD3219b2	ERS952176
Del2358_VPS73	SD3220b	ERS952970
Del2358_VPS73	SD3220b2	ERS952971
Del2359_ARC1	SD3221b	ERS952178
Del2359_ARC1	SD3221b2	ERS952180
Del2360_RMD9	SD3222b	ERS952182
Del2360_RMD9	SD3222b2	ERS952183
Del2361_YGL108C	SD3223b	ERS952185
Del2361_YGL108C	SD3223b2	ERS952187
Del2362_YGL109W	SD3224b	ERS952188
Del2362_YGL109W	SD3224b2	ERS952190
Del2363_CUE3	SD3225b	ERS952192
Del2363_CUE3	SD3225b2	ERS952193
Del2364_YGL114W	SD3226b	ERS952195
Del2364_YGL114W	SD3226b2	ERS952197
Del2365_SNF4	SD3227b	ERS952198
Del2365_SNF4	SD3227b2	ERS952200
Del2366_YGL117W	SD3228b	ERS952202
Del2366_YGL117W	SD3228b2	ERS952203
Del2367_YGL118C	SD3229b	ERS952205
Del2367_YGL118C	SD3229b2	ERS952207
Del2368_GPG1	SD3230b	ERS952208
Del2368_GPG1	SD3230b2	ERS952210
Del2369_MON1	SD3231b	ERS952211
Del2369_MON1	SD3231b2	ERS952213
Del2370_MET13	SD3232b	ERS952215
Del2370_MET13	SD3232b2	ERS952216
Del2371_SCS3	SD3233b	ERS952218
Del2371_SCS3	SD3233b2	ERS952220
Del2372_SOH1	SD3234b	ERS952221
Del2372_SOH1	SD3234b2	ERS952223
Del2373_RSM23	SD3235b	ERS952225
Del2373_RSM23	SD3235b2	ERS952226
Del2374_SNT2	SD3236b	ERS952228
Del2374_SNT2	SD3236b2	ERS952230
Del2375_YGL132W	SD3237b	ERS952231
Del2375_YGL132W	SD3237b2	ERS952233
Del2376_ITC1	SD3238b	ERS952235
Del2376_ITC1	SD3238b2	ERS952236
Del2377_RPL1B	SD3239b	ERS1042835
Del2377_RPL1B	SD3239b2	ERS1042836
Del2378_MRM2	SD3240b	ERS1076586
Del2378_MRM2	SD3240b2	ERS1076587
Del2379_YGL138C	SD3241b	ERS952238
Del2379_YGL138C	SD3241b2	ERS952240
Del2380_FLC3	SD3242b	ERS952241
Del2380_FLC3	SD3242b2	ERS952243
Del2381_YGL140C	SD3243b	ERS952245
Del2381_YGL140C	SD3243b2	ERS952246
Del2382_HUL5	SD3244b	ERS952248
Del2382_HUL5	SD3244b2	ERS952250
Del2383_MRF1	SD3245b	ERS952251
Del2407_XRN1	SD3245b2	ERS952253
Del2384_ROG1	SD3246b	ERS952254
Del2384_ROG1	SD3246b2	ERS952256
Del2385_RRT6	SD3247b	ERS952258
Del2385_RRT6	SD3247b2	ERS952259
Del2386_RPL9A	SD3248b	ERS952261
Del2386_RPL9A	SD3248b2	ERS952263
Del2387_ARO2	SD3249b	ERS952264
Del2387_ARO2	SD3249b2	ERS952266
Del2388_YGL149W	SD3250b	ERS952268
Del2388_YGL149W	SD3250b2	ERS952269
Del2389_NUT1	SD3251b	ERS952271
Del2389_NUT1	SD3251b2	ERS952273
Del2390_YGL152C	SD3252b	ERS952274
Del2390_YGL152C	SD3252b2	ERS952276
Del2391_PEX14	SD3253b	ERS952278
Del2391_PEX14	SD3253b2	ERS952279
Del2392_LYS5	SD3254b	ERS952281
Del2392_LYS5	SD3254b2	ERS952282
Del2393_AMS1	SD3255b	ERS952284
Del2393_AMS1	SD3255b2	ERS952286
Del2394_ARI1	SD3256b	ERS952288
Del2394_ARI1	SD3256b2	ERS952289
Del2395_RCK1	SD3257b	ERS952291
Del2395_RCK1	SD3257b2	ERS952293
Del2396_YGL159W	SD3258b	ERS952294
Del2396_YGL159W	SD3258b2	ERS952296
Del2397_AIM14	SD3259b	ERS952298
Del2397_AIM14	SD3259b2	ERS952300
Del2398_YIP5	SD3260b	ERS952301
Del2398_YIP5	SD3260b2	ERS952302
Del2399_SUT1	SD3261b	ERS952303
Del2399_SUT1	SD3261b2	ERS952304
Del2400_RAD54	SD3262b	ERS952305
Del2400_RAD54	SD3262b2	ERS952306
Del2401_YRB30	SD3263b	ERS952307
Del2401_YRB30	SD3263b2	ERS952308
Del2402_YGL165C	SD3264b	ERS952309
Del2402_YGL165C	SD3264b2	ERS952310
Del2403_CUP2	SD3265b	ERS952311
Del2403_CUP2	SD3265b2	ERS952312
Del2404_PMR1	SD3266b	ERS952313
Del2405_HUR1	SD3267b	ERS952315
Del2405_HUR1	SD3267b2	ERS952316
Del2406_SPO74	SD3268b	ERS952317
Del2406_SPO74	SD3268b2	ERS952318
Del2407_XRN1	SD3269b	ERS952319
Del2407_XRN1	SD3269b2	ERS952320
Del2408_BUD13	SD3270b	ERS952321
Del2408_BUD13	SD3270b2	ERS952322
Del2409_SAE2	SD3271b	ERS952323
Del2409_SAE2	SD3271b2	ERS952324
Del2410_YGL176C	SD3272b	ERS952325
Del2410_YGL176C	SD3272b2	ERS952326
Del2411_YGL177W	SD3273b	ERS952327
Del2411_YGL177W	SD3273b2	ERS952328
Del2412_TOS3	SD3274b	ERS952329
Del2412_TOS3	SD3274b2	ERS952330
Del2413_ATG1	SD3275b	ERS952331
Del2413_ATG1	SD3275b2	ERS952332
Del2414_GTS1	SD3276b	ERS952333
Del2414_GTS1	SD3276b2	ERS952334
Del2415_HOS2	SD3277b	ERS952335
Del2415_HOS2	SD3277b2	ERS952336
Del2416_GCN1	SD3278b	ERS952337
Del2416_GCN1	SD3278b2	ERS952338
Del2417_DSD1	SD3279b	ERS952339
Del2417_DSD1	SD3279b2	ERS952340
Del2418_MDS3	SD3280b	ERS952341
Del2418_MDS3	SD3280b2	ERS952342
Del2419_YIP4	SD3281b	ERS952343
Del2419_YIP4	SD3281b2	ERS952344
Del2420_EMP24	SD3282b	ERS952345
Del2420_EMP24	SD3282b2	ERS952346
Del2421_ARO8	SD3283b	ERS952347
Del2421_ARO8	SD3283b2	ERS952348
Del2422_KEX1	SD3284b	ERS952349
Del2422_KEX1	SD3284b2	ERS952350
Del2423_POX1	SD3285b	ERS952351
Del2423_POX1	SD3285b2	ERS952352
Del2425_SIP2	SD3287b	ERS952353
Del2425_SIP2	SD3287b2	ERS952354
Del2426_MIG2	SD3288b	ERS952355
Del2426_MIG2	SD3288b2	ERS952356
Del2427_YPT32	SD3289b	ERS952357
Del2427_YPT32	SD3289b2	ERS952358
Del2428_NCS6	SD3290b	ERS952359
Del2428_NCS6	SD3290b2	ERS952360
Del2429_VAM7	SD3291b	ERS952361
Del2429_VAM7	SD3291b2	ERS952362
Del2430_SKI8	SD3292b	ERS952363
Del2430_SKI8	SD3292b2	ERS952364
Del2431_CLG1	SD3293b	ERS952365
Del2431_CLG1	SD3293b2	ERS952366
Del2432_KIP3	SD3294b	ERS952367
Del2432_KIP3	SD3294b2	ERS952368
Del2433_FRA2	SD3295b	ERS952369
Del2433_FRA2	SD3295b2	ERS952370
Del2434_NIF3	SD3296b	ERS952371
Del2434_NIF3	SD3296b2	ERS952372
Del2435_EDC1	SD3297b	ERS952373
Del2435_EDC1	SD3297b2	ERS952374
Del2436_COG1	SD3298b	ERS952375
Del2436_COG1	SD3298b2	ERS952376
Del2437_SDT1	SD3299b	ERS952377
Del2437_SDT1	SD3299b2	ERS952378
Del2438_OST5	SD3300b	ERS952379
Del2438_OST5	SD3300b2	ERS952380
Del2439_MTC3	SD3301b	ERS952381
Del2439_MTC3	SD3301b2	ERS952382
Del2440_VID30	SD3302b	ERS952383
Del2440_VID30	SD3302b2	ERS952384
Del2441_SHE10	SD3303b	ERS952385
Del2441_SHE10	SD3303b2	ERS952386
Del2442_SAP4	SD3304b	ERS952387
Del2442_SAP4	SD3304b2	ERS952388
Del2443_YGL230C	SD3305b	ERS952389
Del2443_YGL230C	SD3305b2	ERS952390
Del2444_EMC4	SD3306b	ERS952391
Del2444_EMC4	SD3306b2	ERS952392
Del2445_TAN1	SD3307b	ERS952393
Del2445_TAN1	SD3307b2	ERS952394
Del2446_ADE5,7	SD3308b	ERS952395
Del2446_ADE5,7	SD3308b2	ERS952396
Del2447_MTO1	SD3309b	ERS952397
Del2447_MTO1	SD3309b2	ERS952398
Del2448_HAP2	SD3310b	ERS952399
