logs/depth.did.Rap1.3M.log.err-260:real	1m27.278s
logs/depth.did.Rap1.3M.log.err-261:real	0m34.421s
logs/depth.did.Rap1.3M.log.err-262:real	0m30.536s
logs/depth.did.Rap1.3M.log.err-263:real	0m31.506s
logs/depth.did.Rap1.3M.log.err-264:real	0m29.894s
logs/depth.did.Rap1.3M.log.err-265:real	0m30.332s
logs/depth.did.Rap1.3M.log.err-266:real	0m31.014s
logs/depth.did.Rap1.3M.log.err-267:real	0m34.803s
logs/depth.did.Rap1.3M.log.err-268:real	0m35.074s
logs/depth.did.Rap1.3M.log.err-269:real	0m34.622s
logs/depth.did.Rap1.3M.log.err-27:real	0m31.886s
logs/depth.did.Rap1.3M.log.err-270:real	0m29.843s
logs/depth.did.Rap1.3M.log.err-271:real	0m37.268s
logs/depth.did.Rap1.3M.log.err-272:real	0m30.556s
logs/depth.did.Rap1.3M.log.err-273:real	0m30.490s
logs/depth.did.Rap1.3M.log.err-274:real	0m29.994s
logs/depth.did.Rap1.3M.log.err-275:real	0m34.423s
logs/depth.did.Rap1.3M.log.err-276:real	0m34.878s
logs/depth.did.Rap1.3M.log.err-277:real	0m30.427s
logs/depth.did.Rap1.3M.log.err-278:real	0m30.273s
logs/depth.did.Rap1.3M.log.err-279:real	0m30.308s
logs/depth.did.Rap1.3M.log.err-28:real	0m31.287s
logs/depth.did.Rap1.3M.log.err-280:real	0m30.177s
logs/depth.did.Rap1.3M.log.err-281:real	0m35.433s
logs/depth.did.Rap1.3M.log.err-282:real	0m30.141s
logs/depth.did.Rap1.3M.log.err-283:real	0m34.269s
logs/depth.did.Rap1.3M.log.err-284:real	0m29.547s
logs/depth.did.Rap1.3M.log.err-285:real	0m30.836s
logs/depth.did.Rap1.3M.log.err-286:real	0m30.069s
logs/depth.did.Rap1.3M.log.err-287:real	0m30.414s
logs/depth.did.Rap1.3M.log.err-288:real	0m35.670s
logs/depth.did.Rap1.3M.log.err-289:real	0m29.893s
logs/depth.did.Rap1.3M.log.err-29:real	0m34.856s
logs/depth.did.Rap1.3M.log.err-290:real	0m31.073s
logs/depth.did.Rap1.3M.log.err-291:real	0m34.439s
logs/depth.did.Rap1.3M.log.err-292:real	0m34.235s
logs/depth.did.Rap1.3M.log.err-293:real	0m34.433s
logs/depth.did.Rap1.3M.log.err-294:real	0m30.201s
logs/depth.did.Rap1.3M.log.err-295:real	0m34.580s
logs/depth.did.Rap1.3M.log.err-296:real	0m30.978s
logs/depth.did.Rap1.3M.log.err-297:real	0m30.788s
logs/depth.did.Rap1.3M.log.err-298:real	0m30.050s
logs/depth.did.Rap1.3M.log.err-299:real	0m34.435s
logs/depth.did.Rap1.3M.log.err-3:real	0m32.187s
logs/depth.did.Rap1.3M.log.err-30:real	0m34.849s
logs/depth.did.Rap1.3M.log.err-300:real	0m36.499s
logs/depth.did.Rap1.3M.log.err-301:real	0m29.822s
logs/depth.did.Rap1.3M.log.err-302:real	0m31.326s
logs/depth.did.Rap1.3M.log.err-303:real	0m34.280s
logs/depth.did.Rap1.3M.log.err-304:real	0m29.755s
logs/depth.did.Rap1.3M.log.err-305:real	0m30.395s
logs/depth.did.Rap1.3M.log.err-306:real	0m30.748s
logs/depth.did.Rap1.3M.log.err-307:real	0m30.015s
logs/depth.did.Rap1.3M.log.err-308:real	0m30.386s
logs/depth.did.Rap1.3M.log.err-309:real	0m34.859s
